id,sentence1,sentence2,label,similarity,similarity_percentage,plagiarism_status
27,A unique feature of the human metate is the lack of ceremonial figures .,A unique feature of ceremonial metate is the lack of human figures .,0,0.5325025132738128,53.25025132738128,Not Plagiarized
28,"Durr was born in Birmingham , Alabama , where she was brought up by southern women , but was also taught that the Ku Klux Klan were protectors of black femaleness .","Durr was born in Birmingham , Alabama , where she was brought up by black women , but was also taught that the Ku Klux Klan were protectors of southern femininity .",0,0.6901601175589304,69.01601175589303,Not Plagiarized
29,"Katrina M. of Sputinik Music was positive and said that the song is reverse , bright and cheerful .","Katrina M. of Sputinik Music was bright and cheerful and said the song is reversed , positive .",0,0.5485297816691111,54.852978166911114,Not Plagiarized
30,"The Nokasippi River , the Mississippi River and the Little Nokasippi River are all in the area .","The Mississippi , the Nokasippi and the Little Nokasippi are all in the vicinity .",1,0.27797468687440496,27.797468687440496,Not Plagiarized
31,"In 2006 , the Álvarez won the South America Games against Hamilton Ventura .",Hamilton Ventura won the 2006 South America Games against Álvarez .,0,0.581969669221429,58.1969669221429,Not Plagiarized
32,"Some reports state `` 30 years or more '' , while others claim `` 50 years or more '' .","Some reports claim `` 30 years or more '' , while others assert `` 50 years or more '' .",1,0.5031026124151315,50.31026124151315,Not Plagiarized
33,"The resignation of Councillor Horace Muspratt ( party ? , St. Peter , reported April 15 , 1908 ) was elected to the council on 2 June 1909 .","The resignation of Councillor Horace Muspratt ( Party ? , St. Peter 's , reported 15 April 1908 ) was elected to the Council on 2 June 1909 .",1,0.8143833503079119,81.4383350307912,Possible Plagiarism
34,"On April 11 , 2011 , a like planet , HD 38283 b , was discovered in an Earth-Saturnian orbit .","In an earth-like orbit , a Saturn planet , HD 38283 b , was discovered on April 11 , 2011 .",0,0.5586177528223197,55.861775282231974,Not Plagiarized
35,"On July 21 , 2014 , after his two successful years at Las Palmas in Spain , Chrisantus signed a three-year contract with the Turkish Super Lig - Club Sivasspor .","On July 21 , 2014 , after his two successful years at Las Palmas in Spain , Chrisantus signed a three-year contract with Sivasspor at the Turkish Super Lig .",0,0.8316582660808499,83.165826608085,Possible Plagiarism
36,"Ruben Bolling ( born 1963 in New Jersey ) is a pseudonym for cartoonist Ken Fisher , the author of `` Tom the Dancing Bug '' .","Ken Fisher ( born c. 1963 in New Jersey ) is a pseudonym for Ruben Bolling , a cartoonist , the author of `` Tom the Dancing Bug '' .",0,0.7443045649541955,74.43045649541955,Possible Plagiarism
37,"On December 1 , Tinnish announced that he had withdrawn from his position with Toronto and would stay with Atlanta .","On 1 December , Tinnish announced that he had withdrawn from his position with Atlanta and would remain with Toronto .",0,0.581969669221429,58.1969669221429,Not Plagiarized
38,"Located in the southern part of the county , it lies in the southeastern part of the state .","It is located in the southeastern part of the county , in the southern part of the state .",0,0.33909949983813864,33.90994998381387,Not Plagiarized
39,"He was born in New York City in East Broadway on October 23 , 1806 .","He was born on 23 October 1806 in New York , East Broadway .",1,0.4595054219368084,45.95054219368084,Not Plagiarized
40,He always added his own surname of Bhosle and then treated the child like his own son .,He always added his own surname of Bhosle and afterwards treated the child like his own son .,1,1.0000000000000007,100.00000000000007,Possible Plagiarism
41,"After selling his house on 30 Harare drive to the Canadian Embassy he bought Bromley Farm just outside Marondera , Zimbabwe .","After selling his house on 30 Harare ride to the Canadian embassy , he bought Bromley Farm outside Marondera , Zimbabwe .",1,0.6815214500542143,68.15214500542143,Not Plagiarized
42,"The Baldwins lived in Washington , D.C. Robert Baldwin died in 1977 , and Helen Baldwin died March 14 , 1998 , from Lou Gehrig 's disease .","The Baldwins lived in Washington , D.C. Helen Baldwin died in 1977 , and Robert Baldwin died on March 14 , 1998 , from the disease of Lou Gehrig .",0,0.80681975536367,80.681975536367,Possible Plagiarism
43,Doyline is an entry point to Lake Bistineau and the Bistineau State Park .,Lake Bistineau is an entry point to Doyline and the Lake Bistineau State Park .,0,0.7039506731732993,70.39506731732993,Possible Plagiarism
44,"Companies based in the larger rivium include Rockwell Automation , Royal Dutch Shell , Sodexho Nederland , Pfizer , Van Oord and many more .","Companies based in the larger Rivium include Rockwell Automation , Pfizer Nederland , Sodexho Nederland , Royal Dutch Shell , Van Oord , and many more .",0,0.7365136276278197,73.65136276278197,Possible Plagiarism
45,"Axl Rose had wanted the Seattle rock band Nirvana to be the opening act , but frontman Kurt Cobain declined .","Axl Rose had wanted Seattle rock band Nirvana to be the opening act , but frontman Kurt Cobain refused .",1,0.8534112446970983,85.34112446970983,Possible Plagiarism
46,"He built weapons factories for Vtorov and Mikhelson in Moscow , Serpukhov , Zatishye ( Elektrostal ) , Bogorodsk ( Noginsk ) .","He built weapon factories for Vtorov and Mikhelson in electrostal , Zatishye ( Moscow , Serpukhov ) and Bogorodsk ( Noginsk ) .",0,0.4513472433157689,45.13472433157689,Not Plagiarized
47,"In June of 1997 , Kristin met Richard Armstrong .","In June of 1997 , Armstrong met Kristin Richard .",0,0.46975676801152594,46.975676801152595,Not Plagiarized
48,"The U.S. Route 191 leads north from Douglas to Interstate 10 near Willcox , the Arizona State Route 80 leads west to Bisbee and northeast to Interstate 10 in New Mexico .",U.S. Route 191 leads north from Douglas to Interstate 10 near Willcox . Arizona State Route 80 leads west to Bisbee and northeast to Interstate 10 in New Mexico .,1,1.0000000000000004,100.00000000000004,Possible Plagiarism
49,"Most Jewish anarchists supported anarchosyndicalism and communist anarchism , while a few were individualist anarchists .","Most individualist anarchists supported anarchosyndicalism and communist anarchism , while a few Jewish anarchists were .",0,0.8901087250340664,89.01087250340663,Possible Plagiarism
50,"From 1921 to 2012 , Blue Ash Airport was the location of Blue Ash Airport -- Cincinnati .","From 1921 to 2012 , Cincinnati -- Blue Ash Airport was the Blue Blue Ash site .",0,0.6402632480661022,64.02632480661022,Not Plagiarized
51,"It was founded in 1982 by Samuel Lipman , a former art critic of `` New York Times '' and Hilton Kramer , pianist and music critic .","It was founded in 1982 by Hilton Kramer , former art critic for `` The New York Times '' , and Samuel Lipman , a pianist and music critic .",0,0.7598477326802965,75.98477326802964,Possible Plagiarism
52,Constante was the wife of musicologist Victor Brauner and the sister-in-law of the painter Harry Brauner .,"Constante was the wife of the musicologist Harry Brauner , and the sister-in-law of the painter Victor Brauner .",0,0.8278627458597881,82.78627458597882,Possible Plagiarism
53,Shadow Mountain Lake is connected by a short channel to the natural Grand Lake .,The Grand Grand Lake is connected to the short Shadow Mountain Lake by a natural channel .,0,0.6999747686682731,69.99747686682731,Not Plagiarized
54,The painting of the trams on line 1 was decorated with blue swallows by the stylists Élisabeth Garouste and Mattia Bonetti in white .,The livery of trams on Line 1 was decorated in blue with white swallows by stylists Élisabeth Garouste and Mattia Bonetti .,0,0.7062848168468483,70.62848168468483,Possible Plagiarism
55,"In 1986 , Ray and sitcom actress Marla Gibbs were among the notables who helped dedicate Billie Holiday 's star on the Hollywood Walk of Fame .","In 1986 , Ray and Sitcom were actress Marla Gibbs among the notables who helped consecrate Billie Holiday Star on the Hollywood Walk of Fame .",1,0.8143833503079119,81.4383350307912,Possible Plagiarism
56,The variable region of each heavy or light immunoglobulin chain is encoded in several pieces -- known as gene segments ( subgenes ) .,The light region of each immunoglobulin heavy or variable chain is encoded in several pieces -- known as gene segments ( subgenes ) .,0,0.6457014380775987,64.57014380775988,Not Plagiarized
57,"Will and Dani sleep together , but he returns to Gypsy and supports her after being raped by Sam Atwell ( Kane Phillips ) .","Will and Gypsy sleep together , but he returns to Dani and supports her after being raped by Kane Phillips ( Sam Atwell ) .",0,0.5863466456901572,58.63466456901571,Not Plagiarized
58,"Particularly dense erosion occurred in warmer melting periods during the ice ages , when the climate of the tundra prevailed and the soil was not protected by a strong vegetation .","Particularly strong erosion occurred in warmer melting periods during the ice ages , when the climate of the tundra reigned and the soil was not protected by a dense vegetation ceiling .",0,0.6037187398457062,60.37187398457063,Not Plagiarized
59,"Torre is a Wall Street Journal , USA Today , New York Times , and Amazon International 's Bestselling Author .","Torre is a New York Times , USA today , Wall Street Journal and Amazon International Bestselling Author .",1,0.7266101926384432,72.66101926384432,Possible Plagiarism
60,"Vic participated in many different countries and fought for Armenia in the 2000 Olympic Games in Sydney , Australia .","In many countries , he participated in Vic and fought for Armenia at the 2000 Olympic Games in Sydney , Australia .",1,0.6717167768628544,67.17167768628543,Not Plagiarized
61,"The tour reached Shanghai on July 12 , 2008 and Bangkok , Thailand on November 22 , 2008 .","The tour reached Bangkok in Thailand on 12 July 2008 and on November 22 , 2008 in Shanghai .",0,0.5892140618441378,58.92140618441378,Not Plagiarized
62,"He died in Culver City , California on September 28 , 1988 , and was buried at the Hillside Memorial Park Cemetery in Los Angeles , California .","He died on 28 September 1988 in Los Angeles , California , and was buried at Hillside Memorial Park Cemetery in Culver City , California .",0,0.6783893610852075,67.83893610852076,Not Plagiarized
63,"For the first time in league history , Gary Gait of Rochester played against his twin brother Paul Gait of Philadelphia .","For the first time in the history of the league , Paul Gait from Rochester played against his twin brother Gary Gait of Philadelphia .",0,0.7266101926384432,72.66101926384432,Possible Plagiarism
64,"The construction of the PRL began with the Chatswood section to Epping , which began in November 2002 .","The construction of the PRL began with the section Chatswood to Epping , which began in November 2002 .",1,0.7297273805759764,72.97273805759764,Possible Plagiarism
65,"Evariste Baizeau ( June 3 , 1821 - Nantes , February 6 , 1910 ) was a French military physician .","Anacharsis Evariste Baizeau ( 3 June 1821 , Paris -- 6 February 1910 , Nantes ) was a French military physician .",1,0.6256524618277387,62.56524618277387,Not Plagiarized
66,"The school was taken over by Charles Kilroy in the 1960s , his son Patrick Kilroy took over Kilroy College in 1999 .","The school was taken over in the 1960s by Patrick Kilroy , and his son Charles Kilroy took over the management of Kilroy 's College in 1999 .",0,0.6704372361951023,67.04372361951023,Not Plagiarized
67,"Howarth , during an April 1994 `` Soap Opera Update '' interview , said that the only thing that he admired about Todd was his clothing style .",During an interview in April 1994 `` Soap Opera Update '' Howarth said that the only thing he admired about Todd was his clothes style .,1,0.6158435206204845,61.58435206204845,Not Plagiarized
68,"Anacharsis Evariste Baizeau ( 3 June 1821 , Paris -- 6 February 1910 , Nantes ) was a French military physician .","Anacharsis Evariste Baizeau ( June 3 , 1821 - February 6 , 1910 ) was a French military physician .",0,0.6914521203000435,69.14521203000436,Not Plagiarized
69,His sister Mary ( born 25 February 1956 ) won the 1500m in San Sebastian in 1977 and then became the Commonwealth Games champion in 1978 in Edmonton .,"His sister Mary ( born February 25 , 1956 ) won the 1500m in San Sebastian in 1977 and was appointed in Edmonton Commonwealth Games - Champion in 1978 .",1,0.6878231208615665,68.78231208615665,Not Plagiarized
70,"No farthings were produced during the brief reigns of Henry VI and Edward IV , or during the second reign of Edward V .","During the second reign of Henry VI and Edward IV , or during the short reign of Edward V , no farthings were produced .",0,0.6130820025448344,61.30820025448344,Not Plagiarized
71,"The private Catholic schools are Fort Meigs , Frank , Toth and Woodland Elementary Schools , which make up the primary public school , Saint Rose , the fifth .","The private Catholic schools are Fort Meigs , Frank , Toth and Woodland Elementary Schools , with the primary public school , Saint Rose , making up the fifth .",1,0.7968879483437471,79.6887948343747,Possible Plagiarism
72,"After playing in England for Millwall , Clapton Orient and Chelmsford City , Walsingham moved to Italy to play with Genoa and Bologna .","Having played for Millwall , Clapton Orient and Chelmsford City in Italy , Walsingham moved to England to play with Genoa and Bologna .",0,0.5798368146016486,57.98368146016486,Not Plagiarized
73,"She returns to Sunnydale in season seven , not only to perform Buffy and the Scoobies , but to help in a position of leadership .","In the seventh season she returns to Sunnydale not only to help Buffy and the Scoobies , but to perform in a leadership position .",0,0.4104070671759876,41.040706717598766,Not Plagiarized
74,A new South stand was built in 2005 and 2006 to make the stadium into a complete bowl .,"In 2005 and 2006 , a new southern stand was built to make the stadium a complete bowl .",1,0.586346645690157,58.634664569015705,Not Plagiarized
75,"The death of Mao Zedong in 1976 , however , brought economic reform to the PRC , which led to Japan ’ s expected investment in the Chinese economy .","The death of Mao Zedong in 1976 , however , brought economic reform to the PRC , which led to China ’ s expected investment in the Japanese economy .",0,0.6392306240536284,63.92306240536284,Not Plagiarized
76,Octavian recognized the value of holding Egypt and had the kingdom annexed as a Roman province .,Octavian annexed the value of Egypt and had the kingdom recognized as a Roman province .,0,0.4595054219368084,45.95054219368084,Not Plagiarized
77,"In his debut Sydney season with the St. George Dragons in 1957 , he represented for both Sydney firsts and New South Wales .","In his debut season in New South Wales with St. George Dragons in 1957 , he represented Sydney Firsts and Sydney .",0,0.7443045649541955,74.43045649541955,Possible Plagiarism
78,On the left side the 10th IR would also attack the 13th Brigade line south of Marrett Wood .,"On the left , the 13th IR would also attack the 10th Brigade line south of Marrett Wood .",0,0.6549838312574768,65.49838312574768,Not Plagiarized
79,"This created a spacious atrium on the Washington St. side of the building , modernized much of the building infrastructure , and added new computers .","This created a new atrium on the Washington St. side of the building , modernized much of the building 's infrastructure and added spacious computers .",0,0.7266101926384432,72.66101926384432,Possible Plagiarism
80,The application of the term `` controversial '' to asylum seekers is illegal .,The application of the term ‘ illegal ’ to asylum seekers is controversial .,0,0.5744651733947116,57.44651733947116,Not Plagiarized
81,"When he died in 1719 , his eldest son , also called Joseph , followed initially Joseph Truman .","When he died in 1719 , his eldest son , also called Joseph , initially succeeded Joseph Truman .",1,0.6826944946658565,68.26944946658566,Not Plagiarized
82,"The World Cup started on 9 January 1982 in Reit im Winkl and ended on 13 April 1982 in Kiruna , Sweden .","The 1981/82 World Cup started in Reit im Winkl , Kiruna , Sweden on 9 January 1982 and finished in Germany on 13 April 1982 .",0,0.5700816380585355,57.00816380585355,Not Plagiarized
83,"They do not follow the pattern of caldera growth and destruction that other shield volcanoes do ; caldera may form , but they generally do not disappear .","They do not follow the pattern of caldera - growth and destruction that other shield - do volcanoes , caldera may form , but they generally do not disappear .",1,0.9999999999999999,99.99999999999999,Possible Plagiarism
84,"The first landing in Lae Airfield was possessed by Ernest Mustar on April 19 , 1927 in a De Havilland DH.37 by Guinea Gold Airways from Wau .",The first landing at Lae Airfield was made on 19 April 1927 by Ernest Mustar in a De Havilland DH.37 owned by Guinea Gold Airways from Wau .,1,0.5927429089738193,59.27429089738193,Not Plagiarized
85,"Between Langensteinbach and the newly created Schießhüttenäcker railway station , a short double track section was also built in 2011 .","In 2011 , a short double track section was also created between Langensteinbach and the newly built station of Schießhüttenäcker .",1,0.5215655569103778,52.156555691037774,Not Plagiarized
86,"Several members of the CFA were appointed to the McMillan Commission , as were many McMillan Plan supporters .",Several members of the McMillan Commission were appointed to the CFA as many supporters of the McMillan plan .,0,0.5485297816691111,54.852978166911114,Not Plagiarized
87,Revco was subsequently acquired by CVS in 1997 .,CVS was acquired in 1997 by Revco .,0,0.3408242166238353,34.082421662383524,Not Plagiarized
88,"Nesby Phips was released in the documentary `` Mystery Lights '' , presented by Nowhere Studios , produced by Converse and published in the UK on December 4 , 2015 .","Nesby Phips was released in the documentary `` Mystery Lights '' , produced by Nowhere Studios , presented by Converse and published in the UK on 4 December 2015 .",0,0.7443045649541955,74.43045649541955,Possible Plagiarism
89,"Positive real when , Here the zeta function is Hurwitz zeta function and Beta is a valid number .",Here is the Zeta function Hurwitz - Zeta - function and beta is a valid number .,0,0.8524143315538771,85.24143315538771,Possible Plagiarism
90,"The other two rivers are the Mangles River , and the Matiri River .",The two other rivers are the Matiri and the Mangles .,1,0.26242093626195995,26.242093626195995,Not Plagiarized
91,"On May 28 , 2011 , a leadership election was held to replace Darrell Pasloski . Dennis Fentie was chosen after only one ballot .","On 28 May 2011 , a leadership was chosen to replace Dennis Fentie , Darrell Pasloski was elected after only one ballot .",0,0.4707920225783793,47.079202257837935,Not Plagiarized
92,"Aldous Huxley introduced Alfred Matthew Hubbard into the drug in 1955 , and Timothy Leary began to take it in 1962 .",Alfred Matthew Hubbard introduced Aldous Huxley to the drug in 1955 and Timothy Leary began taking it in 1962 .,0,0.6595156769689081,65.9515676968908,Not Plagiarized
93,A new system Of CCE is also implemented in the school for a continuous and a comprehensive evaluation of students .,A new system of CCE is also implemented at school for a continuous and comprehensive evaluation of the students .,1,0.9999999999999999,99.99999999999999,Possible Plagiarism
94,"The dictionary form of a verb is the infinitive , which occasionally ends with `` -ć '' ( usually with `` -c '' ) .","The dictionary form of a verb is the infinitive , which usually ends with `` -c '' ( occasionally with `` -c '' ) .",0,0.6279041938452457,62.79041938452457,Not Plagiarized
95,At the bottom of the hydrometer is a weighted bulb and at the top is a pan for small weights .,At the bottom of the hydrometer there is a weighted light bulb and a frying pan for small weights at the top .,1,0.5476747268645816,54.76747268645816,Not Plagiarized
96,He attended the Liceo Classico in Germany before studying chemistry at the University of Munich in L 'Aquila .,He attended the liceo classico in Germany before studying chemistry at the University of Munich in L'Aquila .,1,1.0,100.0,Possible Plagiarism
97,In April 2016 it was announced that Reid will also present the new sister broadcast `` Top Gear '' Extra Gear `` along with Harris .,In April 2016 it was announced that Harris will also present the new sister show `` Top Gear '' Extra Gear `` together with Reid .,0,0.659515676968908,65.9515676968908,Not Plagiarized
98,"Janet Scott was born on James Alexander Hanson , the second son of James Trickett Hanson ( a Danish immigrant ) and Jim Marchbank .","Born James Alexander Hanson , the second son of James Trickett Hanson ( a Danish immigrant ) and Janet Scott , was born .",0,0.8472633042291824,84.72633042291824,Possible Plagiarism
99,The Total Total Evaporation is The Radiators ' fifth album and their fourth studio album .,The Total Evaporation is the fourth album by The Radiators and their fifth studio album .,0,0.6019868041282436,60.19868041282436,Not Plagiarized
100,"David Spinozza plays the acoustic guitar in the song , Liberty DeVitto plays the drums and Robert Freedman the horn and string orchestration .","David David Spinozza plays the acoustic guitar in the song , Liberty DeVitto plays the drums and Robert Freedman plays the horn and string orchestration .",1,0.8805329175502875,88.05329175502875,Possible Plagiarism
101,The school belongs to the Jefferson District of VHSL Region II ( Virginia High School League ) .,The school belongs to the Jefferson District of Region II of the Virginia High School League ( VHSL ) .,1,0.841660955942934,84.1660955942934,Possible Plagiarism
102,"It is native to Chiapas , Guatemala , Honduras , El Salvador , Panama , Guerrero , Oaxaca , Veracruz .","It is native to Chiapas , Guatemala , Honduras , El Salvador , Guerrero , Panama , Oaxaca , Veracruz .",1,0.7297273805759764,72.97273805759764,Possible Plagiarism
103,A border war broke out between Magdeburg and the Archbishop of Wolfenbüttel in 1346 .,"In 1346 , a border war between Wolfenbüttel and the Archbishop of Magdeburg broke out .",0,0.44751086720733996,44.751086720733994,Not Plagiarized
104,Ruffell was employed as an engineer in Southampton Docks and died on 3 October 1940 in Southampton on his 73rd birthday .,"Ruffell was employed as an engineer in Southampton Docks . He died in Southampton on his 73rd birthday , 3 October 1940 .",1,0.841660955942934,84.1660955942934,Possible Plagiarism
105,"Clanculus atypicus is a species of sea snail , a marine gastropod mollusk in the family Trochidae , the top snails .","Clanculus atypicus is a species of sea snail , a marine gastropod mollusk in the Trochidae family , the top screws .",0,0.6826944946658565,68.26944946658566,Not Plagiarized
106,"David Ray Griffin advocated a sophisticated form of panpsychism , called `` Panexperientialism `` by A. N. Whitehead .",David Ray Griffin advocated a sophisticated form of panpsychism that has been called by A. N. Whitehead `` panexperientialism '' .,1,0.8114301161975616,81.14301161975615,Possible Plagiarism
107,"It was named after Malaysia 's former prime minister , Tun Hussein Onn .","It was named after former Malaysia 's third Prime Minister , Tun Hussein Onn .",0,1.0000000000000007,100.00000000000007,Possible Plagiarism
108,"The Soviet Union was officially neutral in Europe until June 1941 , and Asia until August 1945 , when it attacked Japan in collaboration with the US .","The Soviet Union was officially in Asia until June 1941 , and Europe was officially neutral until August 1945 , when it attacked Japan in cooperation with the US .",0,0.601563102658113,60.1563102658113,Not Plagiarized
109,"Although the opponent , Guillermo Valencia , was also a member of the Liberal Party , he was given support from the Conservative Party .","Although opposition activist Guillermo Valencia was also a member of the Conservative Party , he received support from the Liberal Party .",0,0.47079202257837927,47.07920225783793,Not Plagiarized
110,"His sister Mary ( born February 25 , 1956 ) won the 1500m in San Sebastian in 1977 and was awarded the Edmonton Commonwealth Games - Champion in 1978 .","His sister Mary ( born 25 February , 1956 ) won the 1500m in Edmonton in 1977 and then became the Commonwealth Games champion in 1978 in San Sebastian .",0,0.6037187398457062,60.37187398457063,Not Plagiarized
111,Sukumar Prasad is a southern Indian guitarist who was the first Carnatic musician to play the South Indian musical art form of Carnatic music on the electric guitar .,Sukumar Prasad is a South Indian guitarist who was the first Carnatic musician to play the south Indian musical art form of Carnatic music on the electric guitar .,1,0.8793819511954937,87.93819511954936,Possible Plagiarism
112,"Four times between 1777 and 1860 , bells were consecrated , and three new ones were mentioned in 1861 .","Four bells were consecrated between 1777 and 1860 , and in 1861 three new bells were mentioned .",1,0.4292994935238563,42.929949352385634,Not Plagiarized
113,"Wu Xiang 's son , Wu Sangui , was the commander of the Shanhai Pass , the last major obstacle between Manchu and Beijing .","Wu Xiang 's son Wu Sangui was the commander of Shanhai Pass , the last major obstacle between the Manchus and Beijing .",1,0.7877964172867844,78.77964172867844,Possible Plagiarism
114,"In physical cosmology , the energy of the cosmological vacuum appears as the cosmological constant .",The energy of the cosmological vacuum appears in physical cosmology as a cosmological constant .,1,0.7915289791801919,79.15289791801919,Possible Plagiarism
115,Lillian `` Lilly '' Truscott ( Emily Osment ) is the best girlfriend of Miley Stewart and friend of Oliver Oken on seasons 3 and 4 .,Lillian `` Lilly '' Truscott ( Oliver Oken ) is the best girlfriend of Emily Osment and friend of Miley Stewart in seasons 3 and 4 .,0,0.6158435206204846,61.58435206204847,Not Plagiarized
